name,path,size,file_or_dir
b0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,272,directory
b1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,176,directory
b3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,174,directory
b4,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,347,directory
b5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1396,directory
ba,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,171,directory
bb,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,246,directory
be,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,67,directory
c1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,478,directory
c3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,188,directory
c5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,132,directory
c7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2164,directory
ce,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,182,directory
cf,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,663,directory
d0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,391,directory
d2,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,246,directory
d3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,174,directory
d5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,1760,directory
d6,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2297,directory
d7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,976,directory
d8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,282,directory
dc,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,412,directory
df,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,126,directory
e0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,172,directory
e3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,90,directory
e4,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,46,directory
e6,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,184,directory
e7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,196,directory
e8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,90,directory
e9,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,178,directory
ea,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,167,directory
eb,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,322,directory
ec,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,659,directory
ed,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,367,directory
f0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,617,directory
f2,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,348,directory
f3,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,167,directory
f4,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2293,directory
f7,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2055,directory
f8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,3060,directory
f9,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,74,directory
info,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,0,directory
pack,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects,2461,directory
2cde3c9ce4300cb87880244ee75bb7c2fd44a1,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\00,658,file
e31da50cfda57bb05ddb89d0acd6ad170bd954,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\01,2266,file
9faa2b9b61b5272ea26829abf2302bc9601c8d,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\02,54,file
6da1ea14c157d2934d02253d7ffb87b29fa2ec,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\03,228,file
1fc43d9ce2dafcfbc1d8515b9bd6dbcf431447,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\05,224,file
6512a6d01bf9d42a73b0eee98249a0ea86ff40,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\06,175,file
671e6bec83d1620a23e89e3ce65144ee38ff2a,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\07,1543,file
4b148a71aea808fdcba4a12be52e477c649620,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\09,1049,file
99269559a687b4d730b8a7e854ba30c535e487,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\0a,131,file
6521801a9d2c97f0587b31f4ae43a75718f0e8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\0b,90,file
71d9a079a0afd3c140eb0d568392ec9e753724,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\0b,227,file
786009c67bf6eab4aa45c4eaa5c44776c304da,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\0c,658,file
